time,open,high,low,close,volume,ticker
2019-12-30,4800,4800,4800,4800,0,CPA
2019-12-31,4800,4800,4800,4800,0,CPA
2020-01-02,4800,4800,4800,4800,0,CPA
2020-01-03,4800,4800,4800,4800,0,CPA
2020-01-06,4800,4800,4800,4800,0,CPA
2020-01-07,4800,4800,4800,4800,0,CPA
2020-01-08,4800,4800,4800,4800,0,CPA
2020-01-09,4800,4800,4800,4800,0,CPA
2020-01-10,4800,4800,4800,4800,0,CPA
2020-01-13,4800,4800,4800,4800,0,CPA
2020-01-14,4800,4800,4800,4800,0,CPA
2020-01-15,4800,4800,4800,4800,0,CPA
2020-01-16,4800,4800,4800,4800,0,CPA
2020-01-17,4800,4800,4800,4800,0,CPA
2020-01-20,4800,4800,4800,4800,0,CPA
2020-01-21,4800,4800,4800,4800,0,CPA
2020-01-22,4800,4800,4800,4800,0,CPA
2020-01-30,4800,4800,4800,4800,0,CPA
2020-01-31,4800,4800,4800,4800,0,CPA
2020-02-03,4800,4800,4800,4800,0,CPA
2020-02-04,4800,4800,4800,4800,0,CPA
2020-02-05,4800,4800,4800,4800,0,CPA
2020-02-06,4800,4800,4800,4800,0,CPA
2020-02-07,4800,4800,4800,4800,0,CPA
2020-02-10,4800,4800,4800,4800,0,CPA
2020-02-11,4800,4800,4800,4800,0,CPA
2020-02-12,4800,4800,4800,4800,0,CPA
2020-02-13,4800,4800,4800,4800,0,CPA
2020-02-14,4800,4800,4800,4800,0,CPA
2020-02-17,4800,4800,4800,4800,0,CPA
2020-02-18,4800,4800,4800,4800,0,CPA
2020-02-19,4800,4800,4800,4800,0,CPA
2020-02-20,4800,4800,4800,4800,0,CPA
2020-02-21,4800,4800,4800,4800,0,CPA
2020-02-24,4800,4800,4800,4800,0,CPA
2020-02-25,4800,4800,4800,4800,0,CPA
2020-02-26,4800,4800,4800,4800,0,CPA
2020-02-27,4800,4800,4800,4800,0,CPA
2020-02-28,4800,4800,4800,4800,0,CPA
2020-03-02,4800,4800,4800,4800,0,CPA
2020-03-03,4800,4800,4800,4800,0,CPA
2020-03-04,4800,4800,4800,4800,0,CPA
2020-03-05,4800,4800,4800,4800,0,CPA
2020-03-06,4800,4800,4800,4800,0,CPA
2020-03-09,4800,4800,4800,4800,0,CPA
2020-03-10,4800,4800,4800,4800,0,CPA
