time,open,high,low,close,volume,ticker
2016-11-15,10000,10000,10000,10000,0,UCT
2016-11-16,10000,10000,10000,10000,0,UCT
2016-11-17,10000,10000,10000,10000,0,UCT
2016-11-18,10000,10000,10000,10000,0,UCT
2016-11-21,10000,10000,10000,10000,0,UCT
2016-11-22,10000,10000,10000,10000,0,UCT
2016-11-23,10000,10000,10000,10000,0,UCT
2016-11-24,10000,10000,10000,10000,0,UCT
2016-11-25,10000,10000,10000,10000,0,UCT
2016-11-28,10000,10000,10000,10000,0,UCT
2016-11-29,10000,10000,10000,10000,0,UCT
2016-11-30,10000,10000,10000,10000,0,UCT
2016-12-01,10000,10000,10000,10000,0,UCT
2016-12-02,10000,10000,10000,10000,0,UCT
2016-12-05,10000,10000,10000,10000,0,UCT
2016-12-06,10000,10000,10000,10000,0,UCT
2016-12-07,10000,10000,10000,10000,0,UCT
2016-12-08,10000,10000,10000,10000,0,UCT
2016-12-09,10000,10000,10000,10000,0,UCT
2016-12-12,10000,10000,10000,10000,0,UCT
2016-12-13,10000,10000,10000,10000,0,UCT
2016-12-14,10000,10000,10000,10000,0,UCT
2016-12-15,10000,10000,10000,10000,0,UCT
2016-12-16,10000,10000,10000,10000,0,UCT
2016-12-19,10000,10000,10000,10000,0,UCT
2016-12-20,10000,10000,10000,10000,0,UCT
2016-12-21,10000,10000,10000,10000,0,UCT
2016-12-22,10000,10000,10000,10000,0,UCT
2016-12-23,10000,10000,10000,10000,0,UCT
2016-12-26,10000,10000,10000,10000,0,UCT
2016-12-27,10000,10000,10000,10000,0,UCT
2016-12-28,10000,10000,10000,10000,0,UCT
2016-12-29,10000,10000,10000,10000,0,UCT
2016-12-30,10000,10000,10000,10000,0,UCT
2017-01-03,10000,10000,10000,10000,0,UCT
2017-01-04,10000,10000,10000,10000,0,UCT
2017-01-05,10000,10000,10000,10000,0,UCT
2017-01-06,10000,10000,10000,10000,0,UCT
2017-01-09,10000,10000,10000,10000,0,UCT
2017-01-10,10000,10000,10000,10000,0,UCT
2017-01-11,10000,10000,10000,10000,0,UCT
2017-01-12,10000,10000,10000,10000,0,UCT
2017-01-13,10000,10000,10000,10000,0,UCT
2017-01-16,10000,10000,10000,10000,0,UCT
2017-01-17,10000,10000,10000,10000,0,UCT
2017-01-18,10000,10000,10000,10000,0,UCT
2017-01-19,10000,10000,10000,10000,0,UCT
2017-01-20,10000,10000,10000,10000,0,UCT
2017-01-23,10000,10000,10000,10000,0,UCT
2017-01-24,10000,10000,10000,10000,0,UCT
2017-01-25,10000,10000,10000,10000,0,UCT
2017-02-02,10000,10000,10000,10000,0,UCT
2017-02-03,10000,10000,10000,10000,0,UCT
2017-02-06,10000,10000,10000,10000,0,UCT
2017-02-07,10000,10000,10000,10000,0,UCT
2017-02-08,10000,10000,10000,10000,0,UCT
2017-02-09,10000,10000,10000,10000,0,UCT
2017-02-10,10000,10000,10000,10000,0,UCT
2017-02-13,10000,10000,10000,10000,0,UCT
2017-02-14,10000,10000,10000,10000,0,UCT
2017-02-15,10000,10000,10000,10000,0,UCT
2017-02-16,10000,10000,10000,10000,0,UCT
2017-02-17,10000,10000,10000,10000,0,UCT
2017-02-20,10000,10000,10000,10000,0,UCT
2017-02-21,10000,10000,10000,10000,0,UCT
2017-02-22,10000,10000,10000,10000,0,UCT
2017-02-23,10000,10000,10000,10000,0,UCT
2017-02-24,10000,10000,10000,10000,0,UCT
2017-02-27,10000,10000,10000,10000,0,UCT
2017-02-28,10000,10000,10000,10000,0,UCT
2017-03-01,10000,10000,10000,10000,0,UCT
2017-03-02,10000,10000,10000,10000,0,UCT
2017-03-03,10000,10000,10000,10000,0,UCT
2017-03-06,10000,10000,10000,10000,0,UCT
2017-03-07,10000,10000,10000,10000,0,UCT
2017-03-08,10000,10000,10000,10000,0,UCT
2017-03-09,10000,10000,10000,10000,0,UCT
2017-03-10,10000,10000,10000,10000,0,UCT
2017-03-13,10000,10000,10000,10000,0,UCT
2017-03-14,10000,10000,10000,10000,0,UCT
2017-03-15,10000,10000,10000,10000,0,UCT
2017-03-16,10000,10000,10000,10000,0,UCT
2017-03-17,10000,10000,10000,10000,0,UCT
2017-03-20,10000,10000,10000,10000,0,UCT
2017-03-21,10000,10000,10000,10000,0,UCT
2017-03-22,10000,10000,10000,10000,0,UCT
2017-03-23,10000,10000,10000,10000,0,UCT
2017-03-24,10000,10000,10000,10000,0,UCT
2017-03-27,10000,10000,10000,10000,0,UCT
2017-03-28,10000,10000,10000,10000,0,UCT
2017-03-29,10000,10000,10000,10000,0,UCT
2017-03-30,10000,10000,10000,10000,0,UCT
2017-03-31,10000,10000,10000,10000,0,UCT
2017-04-03,10000,10000,10000,10000,0,UCT
2017-04-04,10000,10000,10000,10000,0,UCT
2017-04-05,10000,10000,10000,10000,0,UCT
2017-04-07,10000,10000,10000,10000,0,UCT
2017-04-10,10000,10000,10000,10000,0,UCT
2017-04-11,10000,10000,10000,10000,0,UCT
2017-04-12,10000,10000,10000,10000,0,UCT
2017-04-13,10000,10000,10000,10000,0,UCT
2017-04-14,10000,10000,10000,10000,0,UCT
2017-04-17,10000,10000,10000,10000,0,UCT
2017-04-18,10000,10000,10000,10000,0,UCT
2017-04-19,10000,10000,10000,10000,0,UCT
2017-04-20,10000,10000,10000,10000,0,UCT
2017-04-21,10000,10000,10000,10000,0,UCT
2017-04-24,10000,10000,10000,10000,0,UCT
2017-04-25,10000,10000,10000,10000,0,UCT
2017-04-26,10000,10000,10000,10000,0,UCT
2017-04-27,10000,10000,10000,10000,0,UCT
2017-04-28,10000,10000,10000,10000,0,UCT
2017-05-03,10000,10000,10000,10000,0,UCT
2017-05-04,10000,10000,10000,10000,0,UCT
2017-05-05,10000,10000,10000,10000,0,UCT
2017-05-08,10000,10000,10000,10000,0,UCT
2017-05-09,10000,10000,10000,10000,0,UCT
2017-05-10,10000,10000,10000,10000,0,UCT
2017-05-11,10000,10000,10000,10000,0,UCT
2017-05-12,10000,10000,10000,10000,0,UCT
2017-05-15,10000,10000,10000,10000,0,UCT
2017-05-16,10000,10000,10000,10000,0,UCT
2017-05-17,10000,10000,10000,10000,0,UCT
2017-05-18,10000,10000,10000,10000,0,UCT
2017-05-19,10000,10000,10000,10000,0,UCT
2017-05-22,10000,10000,10000,10000,0,UCT
2017-05-23,10000,10000,10000,10000,0,UCT
2017-05-24,10000,10000,10000,10000,0,UCT
2017-05-25,10000,10000,10000,10000,0,UCT
2017-05-26,10000,10000,10000,10000,0,UCT
2017-05-29,10000,10000,10000,10000,0,UCT
2017-05-30,10000,10000,10000,10000,0,UCT
2017-05-31,10000,10000,10000,10000,0,UCT
2017-06-01,10000,10000,10000,10000,0,UCT
2017-06-02,10000,10000,10000,10000,0,UCT
2017-06-05,10000,10000,10000,10000,0,UCT
2017-06-06,10000,10000,10000,10000,0,UCT
2017-06-07,10000,10000,10000,10000,0,UCT
2017-06-08,10000,10000,10000,10000,0,UCT
2017-06-09,10000,10000,10000,10000,0,UCT
2017-06-12,10000,10000,10000,10000,0,UCT
2017-06-13,10000,10000,10000,10000,0,UCT
2017-06-14,10000,10000,10000,10000,0,UCT
2017-06-15,10000,10000,10000,10000,0,UCT
2017-06-16,10000,10000,10000,10000,0,UCT
2017-06-19,10000,10000,10000,10000,0,UCT
2017-06-20,10000,10000,10000,10000,0,UCT
2017-06-21,10000,10000,10000,10000,0,UCT
2017-06-22,10000,10000,10000,10000,0,UCT
2017-06-23,10000,10000,10000,10000,0,UCT
2017-06-26,10000,10000,10000,10000,0,UCT
2017-06-27,10000,10000,10000,10000,0,UCT
2017-06-28,10000,10000,10000,10000,0,UCT
2017-06-29,10000,10000,10000,10000,0,UCT
2017-06-30,10000,10000,10000,10000,0,UCT
2017-07-03,10000,10000,10000,10000,0,UCT
2017-07-04,10000,10000,10000,10000,0,UCT
2017-07-05,10000,10000,10000,10000,0,UCT
2017-07-06,10000,10000,10000,10000,0,UCT
2017-07-07,10000,10000,10000,10000,0,UCT
2017-07-10,10000,10000,10000,10000,0,UCT
2017-07-11,10000,10000,10000,10000,0,UCT
2017-07-12,10000,10000,10000,10000,0,UCT
2017-07-13,10000,10000,10000,10000,0,UCT
2017-07-14,10000,10000,10000,10000,0,UCT
2017-07-17,10000,10000,10000,10000,0,UCT
2017-07-18,10000,10000,10000,10000,0,UCT
2017-07-19,10000,10000,10000,10000,0,UCT
2017-07-20,10000,10000,10000,10000,0,UCT
2017-07-21,10000,10000,10000,10000,0,UCT
2017-07-24,10000,10000,10000,10000,0,UCT
2017-07-25,10000,10000,10000,10000,0,UCT
2017-07-26,10000,10000,10000,10000,0,UCT
2017-07-27,10000,10000,10000,10000,0,UCT
2017-07-28,10000,10000,10000,10000,0,UCT
2017-07-31,10000,10000,10000,10000,0,UCT
2017-08-01,10000,10000,10000,10000,0,UCT
2017-08-02,10000,10000,10000,10000,0,UCT
2017-08-03,10000,10000,10000,10000,0,UCT
2017-08-04,10000,10000,10000,10000,0,UCT
2017-08-07,10000,10000,10000,10000,0,UCT
2017-08-08,10000,10000,10000,10000,0,UCT
2017-08-09,10000,10000,10000,10000,0,UCT
2017-08-10,10000,10000,10000,10000,0,UCT
2017-08-11,10000,10000,10000,10000,0,UCT
2017-08-14,10000,10000,10000,10000,0,UCT
2017-08-15,10000,10000,10000,10000,0,UCT
2017-08-16,10000,10000,10000,10000,0,UCT
2017-08-17,10000,10000,10000,10000,0,UCT
2017-08-18,10000,10000,10000,10000,0,UCT
2017-08-21,10000,10000,10000,10000,0,UCT
2017-08-22,10000,10000,10000,10000,0,UCT
2017-08-23,10000,10000,10000,10000,0,UCT
2017-08-24,10000,10000,10000,10000,0,UCT
2017-08-25,10000,10000,10000,10000,0,UCT
2017-08-28,10000,10000,10000,10000,0,UCT
2017-08-29,10000,10000,10000,10000,0,UCT
2017-08-30,10000,10000,10000,10000,0,UCT
2017-08-31,10000,10000,10000,10000,0,UCT
2017-09-01,10000,10000,10000,10000,0,UCT
2017-09-05,10000,10000,10000,10000,0,UCT
2017-09-06,10000,10000,10000,10000,0,UCT
2017-09-07,10000,10000,10000,10000,0,UCT
2017-09-08,10000,10000,10000,10000,0,UCT
2017-09-11,10000,10000,10000,10000,0,UCT
2017-09-12,10000,10000,10000,10000,0,UCT
2017-09-13,10000,10000,10000,10000,0,UCT
2017-09-14,10000,10000,10000,10000,0,UCT
2017-09-15,10000,10000,10000,10000,0,UCT
2017-09-18,10000,10000,10000,10000,0,UCT
2017-09-19,10000,10000,10000,10000,0,UCT
2017-09-20,10000,10000,10000,10000,0,UCT
2017-09-21,10000,10000,10000,10000,0,UCT
2017-09-22,10000,10000,10000,10000,0,UCT
2017-09-25,10000,10000,10000,10000,0,UCT
2017-09-26,10000,10000,10000,10000,0,UCT
2017-09-27,10000,10000,10000,10000,0,UCT
2017-09-28,10000,10000,10000,10000,0,UCT
2017-09-29,10000,10000,10000,10000,0,UCT
2017-10-02,10000,10000,10000,10000,0,UCT
2017-10-03,10000,10000,10000,10000,0,UCT
2017-10-04,10000,10000,10000,10000,0,UCT
2017-10-05,10000,10000,10000,10000,0,UCT
